step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
0,0.0000,-0.133577,0,squat_bounce,0.123498,0.000354,-0.000257,-0.150043,0.033792
1,0.0200,0.117666,0,squat_bounce,0.118006,0.001449,-0.001331,-0.349278,0.066114
2,0.0400,0.368910,0,squat_bounce,0.113875,0.003119,-0.000872,-0.070179,0.076412
3,0.0600,0.620154,0,squat_bounce,0.113332,0.004298,-0.000615,-0.019358,0.053564
4,0.0800,0.871397,0,squat_bounce,0.112883,0.004744,-0.001720,-0.025115,0.011688
5,0.1000,1.122641,0,squat_bounce,0.112325,0.004756,-0.002262,-0.028975,-0.005106
6,0.1200,1.373885,0,squat_bounce,0.111759,0.004627,-0.002360,-0.027098,-0.005461
7,0.1400,1.625128,0,squat_bounce,0.111296,0.004554,-0.002427,-0.020693,-0.003035
8,0.1600,1.876372,0,squat_bounce,0.110952,0.004416,-0.002654,-0.015460,-0.011733
9,0.1800,2.127616,0,squat_bounce,0.110696,0.004035,-0.002890,-0.011348,-0.022866
10,0.2000,2.378859,0,squat_bounce,0.110504,0.003503,-0.002934,-0.008792,-0.028191
11,0.2200,2.630103,0,squat_bounce,0.110327,0.003061,-0.002723,-0.008622,-0.020018
12,0.2400,2.881346,0,squat_bounce,0.110168,0.002667,-0.002164,-0.007287,-0.022095
13,0.2600,3.132590,0,squat_bounce,0.109997,0.002309,-0.001306,-0.009621,-0.014516
14,0.2800,-2.899352,0,squat_bounce,0.109783,0.002097,-0.000361,-0.011229,-0.010516
15,0.3000,-2.648108,0,squat_bounce,0.109544,0.001905,0.000325,-0.012349,-0.010180
16,0.3200,-2.396864,0,squat_bounce,0.109286,0.001716,0.000667,-0.013178,-0.009372
17,0.3400,-2.145621,0,squat_bounce,0.109018,0.001554,0.000800,-0.013498,-0.007373
18,0.3600,-1.894377,0,squat_bounce,0.108753,0.001466,0.000819,-0.013006,-0.002102
19,0.3800,-1.643133,0,squat_bounce,0.108508,0.001505,0.000734,-0.011671,0.004607
20,0.4000,-1.391890,0,squat_bounce,0.108299,0.001660,0.000522,-0.009723,0.009640
21,0.4200,-1.140646,0,squat_bounce,0.108154,0.002008,0.000199,-0.006842,0.017951
22,0.4400,-0.889402,0,squat_bounce,0.108030,0.002264,-0.000135,-0.005571,0.010813
23,0.4600,-0.638159,0,squat_bounce,0.107949,0.002440,-0.000402,-0.003048,0.008505
24,0.4800,-0.386915,0,squat_bounce,0.107917,0.002592,-0.000633,-0.000998,0.007292
25,0.5000,-0.135672,0,squat_bounce,0.107913,0.002722,-0.000949,0.000313,0.006847
26,0.5200,0.115572,0,squat_bounce,0.107941,0.002870,-0.001597,0.002067,0.009106
27,0.5400,0.366816,0,squat_bounce,0.108006,0.003053,-0.002426,0.003985,0.010193
28,0.5600,0.618059,0,squat_bounce,0.108110,0.003220,-0.003272,0.005877,0.008286
29,0.5800,0.869303,0,squat_bounce,0.108250,0.003331,-0.004044,0.007566,0.005414
30,0.6000,1.120547,0,squat_bounce,0.108418,0.003418,-0.004643,0.008861,0.004980
31,0.6200,1.371790,0,squat_bounce,0.108606,0.003503,-0.005000,0.009593,0.004359
32,0.6400,1.623034,0,squat_bounce,0.108813,0.003578,-0.005141,0.011569,0.001567
33,0.6600,1.874278,0,squat_bounce,0.109007,0.003534,-0.005158,0.008471,-0.005569
34,0.6800,2.125521,0,squat_bounce,0.109172,0.003389,-0.005108,0.008609,-0.012958
35,0.7000,2.376765,0,squat_bounce,0.109292,0.003077,-0.005055,0.004102,-0.018710
36,0.7200,2.628008,0,squat_bounce,0.109355,0.002705,-0.004951,0.002346,-0.018963
37,0.7400,2.879252,0,squat_bounce,0.109375,0.002384,-0.004752,0.000108,-0.015095
38,0.7600,3.130496,0,squat_bounce,0.109351,0.002035,-0.004290,-0.001941,-0.021031
39,0.7800,-2.901446,0,squat_bounce,0.109283,0.001564,-0.003844,-0.004325,-0.025668
40,0.8000,-2.650202,0,squat_bounce,0.109166,0.001052,-0.003500,-0.006773,-0.025883
41,0.8200,-2.398959,0,squat_bounce,0.109004,0.000578,-0.003220,-0.008810,-0.022662
42,0.8400,-2.147715,0,squat_bounce,0.108802,0.000286,-0.002893,-0.010722,-0.009436
43,0.8600,-1.896471,0,squat_bounce,0.108588,0.000087,-0.002573,-0.011034,-0.011079
44,0.8800,-1.645228,0,squat_bounce,0.108374,-0.000035,-0.002256,-0.010294,-0.002928
45,0.9000,-1.393984,0,squat_bounce,0.108180,0.000112,-0.001892,-0.010056,0.019746
46,0.9200,-1.142741,0,squat_bounce,0.108023,0.000501,-0.001690,-0.006682,0.019053
47,0.9400,-0.891497,0,squat_bounce,0.107931,0.000952,-0.001810,-0.003023,0.027834
48,0.9600,-0.640253,0,squat_bounce,0.107875,0.001388,-0.001929,-0.002365,0.019198
49,0.9800,-0.389010,0,squat_bounce,0.107836,0.001799,-0.001897,-0.001632,0.021307
50,1.0000,-0.137766,0,squat_bounce,0.107833,0.002027,-0.001963,0.000484,0.008217
51,1.0200,0.113478,0,squat_bounce,0.107863,0.002164,-0.002282,0.002158,0.007994
52,1.0400,0.364721,0,squat_bounce,0.107929,0.002342,-0.002776,0.003950,0.010821
53,1.0600,0.615965,0,squat_bounce,0.108016,0.002725,-0.003235,0.005301,0.020361
54,1.0800,0.867209,0,squat_bounce,0.108155,0.003022,-0.003802,0.007777,0.013108
55,1.1000,1.118452,0,squat_bounce,0.108329,0.003217,-0.004412,0.009083,0.009662
56,1.1200,1.369696,0,squat_bounce,0.108519,0.003369,-0.004773,0.009642,0.007347
57,1.1400,1.620939,0,squat_bounce,0.108711,0.003482,-0.004894,0.009561,0.004905
58,1.1600,1.872183,0,squat_bounce,0.108912,0.003577,-0.004930,0.010184,0.003370
59,1.1800,2.123427,0,squat_bounce,0.109091,0.003478,-0.004993,0.008079,-0.010211
60,1.2000,2.374670,0,squat_bounce,0.109195,0.003109,-0.005053,0.003862,-0.020650
61,1.2200,2.625914,0,squat_bounce,0.109263,0.002721,-0.005061,0.002708,-0.019212
62,1.2400,2.877158,0,squat_bounce,0.109289,0.002399,-0.005026,0.000431,-0.014310
63,1.2600,3.128401,0,squat_bounce,0.109272,0.002071,-0.004690,-0.001676,-0.019899
64,1.2800,-2.903540,0,squat_bounce,0.109209,0.001621,-0.004263,-0.004078,-0.024931
65,1.3000,-2.652297,0,squat_bounce,0.109096,0.001122,-0.003882,-0.006530,-0.025593
66,1.3200,-2.401053,0,squat_bounce,0.108934,0.000696,-0.003523,-0.009690,-0.014355
67,1.3400,-2.149809,0,squat_bounce,0.108740,0.000411,-0.003199,-0.009768,-0.015042
68,1.3600,-1.898566,0,squat_bounce,0.108535,0.000131,-0.002920,-0.010830,-0.014221
69,1.3800,-1.647322,0,squat_bounce,0.108309,0.000124,-0.002472,-0.010744,0.003315
70,1.4000,-1.396079,0,squat_bounce,0.108123,0.000273,-0.002091,-0.008441,0.008829
71,1.4200,-1.144835,0,squat_bounce,0.107983,0.000555,-0.001942,-0.005590,0.020050
72,1.4400,-0.893591,0,squat_bounce,0.107878,0.001134,-0.001861,-0.004634,0.024191
73,1.4600,-0.642348,0,squat_bounce,0.107813,0.001529,-0.001835,-0.002342,0.017653
74,1.4800,-0.391104,0,squat_bounce,0.107790,0.001769,-0.001799,-0.000634,0.007470
75,1.5000,-0.139860,0,squat_bounce,0.107779,0.002006,-0.001831,0.000132,0.011606
76,1.5200,0.111383,0,squat_bounce,0.107809,0.002184,-0.002167,0.002251,0.009380
77,1.5400,0.362627,0,squat_bounce,0.107878,0.002364,-0.002735,0.004123,0.010746
78,1.5600,0.613871,0,squat_bounce,0.107968,0.002729,-0.003239,0.005430,0.019589
79,1.5800,0.865114,0,squat_bounce,0.108109,0.003019,-0.003798,0.007840,0.013336
80,1.6000,1.116358,0,squat_bounce,0.108284,0.003219,-0.004375,0.009143,0.010019
81,1.6200,1.367601,0,squat_bounce,0.108475,0.003375,-0.004705,0.009721,0.007535
82,1.6400,1.618845,0,squat_bounce,0.108670,0.003490,-0.004805,0.009655,0.004914
83,1.6600,1.870089,0,squat_bounce,0.108854,0.003548,-0.004835,0.008858,0.001677
84,1.6800,2.121332,0,squat_bounce,0.109036,0.003545,-0.004915,0.008607,-0.003775
85,1.7000,2.372576,0,squat_bounce,0.109174,0.003301,-0.005022,0.005667,-0.016841
86,1.7200,2.623820,0,squat_bounce,0.109246,0.002843,-0.005059,0.002502,-0.024904
87,1.7400,2.875063,0,squat_bounce,0.109266,0.002395,-0.005003,0.000029,-0.020015
88,1.7600,3.126307,0,squat_bounce,0.109242,0.001982,-0.004659,-0.001860,-0.023359
89,1.7800,-2.905635,0,squat_bounce,0.109178,0.001493,-0.004228,-0.004108,-0.026259
90,1.8000,-2.654391,0,squat_bounce,0.109066,0.000988,-0.003851,-0.006467,-0.025452
91,1.8200,-2.403147,0,squat_bounce,0.108901,0.000645,-0.003470,-0.008801,-0.015689
92,1.8400,-2.151904,0,squat_bounce,0.108716,0.000347,-0.003220,-0.009475,-0.014983
93,1.8600,-1.900660,0,squat_bounce,0.108502,0.000138,-0.002938,-0.012154,-0.000630
94,1.8800,-1.649417,0,squat_bounce,0.108285,0.000166,-0.002513,-0.010133,0.002065
95,1.9000,-1.398173,0,squat_bounce,0.108104,0.000304,-0.002183,-0.008349,0.008787
96,1.9200,-1.146929,0,squat_bounce,0.107947,0.000701,-0.001928,-0.006910,0.021623
97,1.9400,-0.895686,0,squat_bounce,0.107858,0.001240,-0.001930,-0.004055,0.023968
98,1.9600,-0.644442,0,squat_bounce,0.107797,0.001621,-0.001980,-0.002344,0.016891
99,1.9800,-0.393198,0,squat_bounce,0.107760,0.002034,-0.001936,-0.001066,0.016412
100,2.0000,-0.141955,0,squat_bounce,0.107762,0.002192,-0.001990,0.000695,0.005172
101,2.0200,0.109289,0,squat_bounce,0.107795,0.002274,-0.002281,0.002243,0.005456
102,2.0400,0.360533,0,squat_bounce,0.107850,0.002510,-0.002690,0.003161,0.017959
103,2.0600,0.611776,0,squat_bounce,0.107952,0.002780,-0.003189,0.006009,0.012647
104,2.0800,0.863020,0,squat_bounce,0.108095,0.002974,-0.003779,0.007758,0.010311
105,2.1000,1.114263,0,squat_bounce,0.108266,0.003147,-0.004216,0.008927,0.009205
106,2.1200,1.365507,0,squat_bounce,0.108453,0.003304,-0.004418,0.009596,0.007645
107,2.1400,1.616751,0,squat_bounce,0.108647,0.003428,-0.004463,0.009636,0.005323
108,2.1600,1.867994,0,squat_bounce,0.108831,0.003495,-0.004487,0.008885,0.002117
109,2.1800,2.119238,0,squat_bounce,0.108991,0.003481,-0.004587,0.007304,-0.002232
110,2.2000,2.370482,0,squat_bounce,0.109132,0.003370,-0.004750,0.006284,-0.009169
111,2.2200,2.621725,0,squat_bounce,0.109217,0.003040,-0.004903,0.002969,-0.019602
112,2.2400,2.872969,0,squat_bounce,0.109243,0.002652,-0.004942,0.000306,-0.017871
113,2.2600,3.124213,0,squat_bounce,0.109223,0.002257,-0.004662,-0.001732,-0.023123
114,2.2800,-2.907729,0,squat_bounce,0.109160,0.001753,-0.004259,-0.004047,-0.027372
115,2.3000,-2.656486,0,squat_bounce,0.109049,0.001218,-0.003878,-0.006444,-0.027238
116,2.3200,-2.405242,0,squat_bounce,0.108886,0.000805,-0.003494,-0.009109,-0.016772
117,2.3400,-2.153998,0,squat_bounce,0.108699,0.000484,-0.003198,-0.009552,-0.016421
118,2.3600,-1.902755,0,squat_bounce,0.108490,0.000182,-0.002907,-0.010876,-0.014259
119,2.3800,-1.651511,0,squat_bounce,0.108267,0.000221,-0.002430,-0.010271,0.002536
120,2.4000,-1.400267,0,squat_bounce,0.108086,0.000370,-0.002045,-0.008286,0.008970
121,2.4200,-1.149024,0,squat_bounce,0.107946,0.000786,-0.001815,-0.005792,0.031359
122,2.4400,-0.897780,0,squat_bounce,0.107842,0.001261,-0.001746,-0.004573,0.019792
123,2.4600,-0.646536,0,squat_bounce,0.107777,0.001588,-0.001734,-0.002394,0.014922
124,2.4800,-0.395293,0,squat_bounce,0.107743,0.001934,-0.001696,-0.001312,0.018363
125,2.5000,-0.144049,0,squat_bounce,0.107745,0.002122,-0.001790,0.000691,0.006549
126,2.5200,0.107194,0,squat_bounce,0.107778,0.002223,-0.002132,0.002264,0.006429
127,2.5400,0.358438,0,squat_bounce,0.107834,0.002471,-0.002599,0.003185,0.018657
