step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
0,0.0000,-0.133577,2,head_bob,0.123591,-0.000210,-0.000702,-0.141132,-0.020050
1,0.0200,0.117666,2,head_bob,0.118390,-0.000737,-0.002620,-0.331595,-0.027356
2,0.0400,0.368910,2,head_bob,0.115014,-0.000849,-0.001296,-0.022693,-0.010171
3,0.0600,0.620154,2,head_bob,0.115454,-0.001300,0.000701,0.028655,-0.019945
4,0.0800,0.871397,2,head_bob,0.115924,-0.001562,0.000696,0.018814,-0.010224
5,0.1000,1.122641,2,head_bob,0.116160,-0.001774,0.000385,0.008067,-0.012593
6,0.1200,1.373885,2,head_bob,0.116237,-0.002081,-0.000085,0.002025,-0.016572
7,0.1400,1.625128,2,head_bob,0.116244,-0.002411,-0.000543,-0.000419,-0.014876
8,0.1600,1.876372,2,head_bob,0.116224,-0.002660,-0.000865,-0.001168,-0.010848
9,0.1800,2.127616,2,head_bob,0.116192,-0.002940,-0.001096,-0.001827,-0.017282
10,0.2000,2.378859,2,head_bob,0.116150,-0.003306,-0.001226,-0.002707,-0.015559
11,0.2200,2.630103,2,head_bob,0.116085,-0.003443,-0.000878,-0.003382,-0.001772
12,0.2400,2.881346,2,head_bob,0.116027,-0.003343,0.000172,-0.001905,0.008291
13,0.2600,3.132590,2,head_bob,0.115972,-0.002853,0.001831,-0.004315,0.029258
14,0.2800,-2.899352,2,head_bob,0.115855,-0.002283,0.003782,-0.006378,0.025922
15,0.3000,-2.648108,2,head_bob,0.115738,-0.001879,0.005562,-0.004931,0.010275
16,0.3200,-2.396864,2,head_bob,0.115650,-0.001825,0.006875,-0.004136,-0.001584
17,0.3400,-2.145621,2,head_bob,0.115571,-0.001825,0.007735,-0.003288,-0.003077
18,0.3600,-1.894377,2,head_bob,0.115531,-0.001957,0.007853,-0.001269,-0.007856
19,0.3800,-1.643133,2,head_bob,0.115518,-0.002073,0.007350,-0.000382,-0.003586
20,0.4000,-1.391890,2,head_bob,0.115499,-0.001974,0.006566,-0.001266,0.012523
21,0.4200,-1.140646,2,head_bob,0.115486,-0.001651,0.005428,-0.000140,0.018067
22,0.4400,-0.889402,2,head_bob,0.115496,-0.001381,0.004175,0.000904,0.011819
23,0.4600,-0.638159,2,head_bob,0.115518,-0.001244,0.003210,0.001128,0.005540
24,0.4800,-0.386915,2,head_bob,0.115534,-0.001180,0.002864,0.000619,0.002195
25,0.5000,-0.135672,2,head_bob,0.115542,-0.001141,0.002937,0.000213,0.002619
26,0.5200,0.115572,2,head_bob,0.115538,-0.001069,0.003094,-0.000512,0.004273
27,0.5400,0.366816,2,head_bob,0.115537,-0.001109,0.003073,0.000239,-0.007276
28,0.5600,0.618059,2,head_bob,0.115535,-0.001285,0.002771,-0.000305,-0.008690
29,0.5800,0.869303,2,head_bob,0.115536,-0.001439,0.002250,0.000196,-0.006289
30,0.6000,1.120547,2,head_bob,0.115544,-0.001591,0.001369,0.001080,-0.002830
31,0.6200,1.371790,2,head_bob,0.115559,-0.001500,0.000034,0.000375,0.010940
32,0.6400,1.623034,2,head_bob,0.115571,-0.001357,-0.001458,0.000768,0.005980
33,0.6600,1.874278,2,head_bob,0.115589,-0.001384,-0.002692,0.000933,-0.003164
34,0.6800,2.125521,2,head_bob,0.115603,-0.001541,-0.003300,0.000469,-0.008895
35,0.7000,2.376765,2,head_bob,0.115599,-0.001740,-0.003159,-0.000787,-0.011168
36,0.7200,2.628008,2,head_bob,0.115590,-0.001982,-0.002423,0.000192,-0.017388
37,0.7400,2.879252,2,head_bob,0.115579,-0.001932,-0.001214,-0.000266,0.015652
38,0.7600,3.130496,2,head_bob,0.115546,-0.001516,0.000369,-0.002671,0.016312
39,0.7800,-2.901446,2,head_bob,0.115500,-0.001419,0.002021,-0.002977,0.001595
40,0.8000,-2.650202,2,head_bob,0.115424,-0.001274,0.003674,-0.003363,0.001840
41,0.8200,-2.398959,2,head_bob,0.115373,-0.001368,0.005070,-0.002246,-0.008956
42,0.8400,-2.147715,2,head_bob,0.115330,-0.001479,0.006028,-0.001864,-0.005155
43,0.8600,-1.896471,2,head_bob,0.115316,-0.001647,0.006286,-0.000202,-0.009140
