step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
0,0.0000,-0.133577,1,weight_shift,0.123536,-0.000260,-0.000298,-0.146434,-0.024929
1,0.0200,0.117666,1,weight_shift,0.118169,-0.001045,-0.001163,-0.341363,-0.046494
2,0.0400,0.368910,1,weight_shift,0.114580,-0.003577,0.001110,-0.025031,-0.151224
3,0.0600,0.620154,1,weight_shift,0.115122,-0.005725,0.002488,0.035544,-0.064782
4,0.0800,0.871397,1,weight_shift,0.115693,-0.006183,-0.000621,0.023203,-0.003615
5,0.1000,1.122641,1,weight_shift,0.116022,-0.006119,-0.003753,0.012132,0.006264
6,0.1200,1.373885,1,weight_shift,0.116147,-0.005984,-0.005090,0.003268,0.007854
7,0.1400,1.625128,1,weight_shift,0.116156,-0.005809,-0.005372,-0.000668,0.009635
8,0.1600,1.876372,1,weight_shift,0.116131,-0.005617,-0.005298,-0.001091,0.006214
9,0.1800,2.127616,1,weight_shift,0.116100,-0.005417,-0.005015,-0.001470,0.009183
10,0.2000,2.378859,1,weight_shift,0.116061,-0.005185,-0.004398,-0.002283,0.011658
11,0.2200,2.630103,1,weight_shift,0.116013,-0.004938,-0.003567,-0.002028,0.010942
12,0.2400,2.881346,1,weight_shift,0.115966,-0.004706,-0.002641,-0.002544,0.010789
13,0.2600,3.132590,1,weight_shift,0.115915,-0.004470,-0.001641,-0.002134,0.011801
14,0.2800,-2.899352,1,weight_shift,0.115879,-0.004186,-0.000656,-0.001306,0.019228
15,0.3000,-2.648108,1,weight_shift,0.115842,-0.003801,0.000431,-0.002597,0.011590
16,0.3200,-2.396864,1,weight_shift,0.115784,-0.003680,0.001423,-0.002869,0.002495
17,0.3400,-2.145621,1,weight_shift,0.115741,-0.003621,0.002025,-0.001835,0.000843
18,0.3600,-1.894377,1,weight_shift,0.115706,-0.003587,0.002443,-0.001714,0.001860
19,0.3800,-1.643133,1,weight_shift,0.115677,-0.003513,0.002684,-0.001239,0.004397
20,0.4000,-1.391890,1,weight_shift,0.115659,-0.003410,0.002609,-0.000667,0.005552
21,0.4200,-1.140646,1,weight_shift,0.115651,-0.003311,0.002355,-0.000398,0.003362
22,0.4400,-0.889402,1,weight_shift,0.115643,-0.003271,0.002050,-0.000389,0.002010
23,0.4600,-0.638159,1,weight_shift,0.115637,-0.003279,0.001538,-0.000255,-0.000830
24,0.4800,-0.386915,1,weight_shift,0.115635,-0.003335,0.000697,-0.000050,-0.002124
25,0.5000,-0.135672,1,weight_shift,0.115633,-0.003440,-0.000218,-0.000163,-0.003894
26,0.5200,0.115572,1,weight_shift,0.115629,-0.003542,-0.001110,-0.000234,-0.003338
27,0.5400,0.366816,1,weight_shift,0.115628,-0.003632,-0.002053,-0.000120,-0.003921
28,0.5600,0.618059,1,weight_shift,0.115623,-0.003741,-0.002866,-0.000291,-0.003720
29,0.5800,0.869303,1,weight_shift,0.115622,-0.003819,-0.003598,-0.000059,-0.002385
30,0.6000,1.120547,1,weight_shift,0.115619,-0.003879,-0.004171,-0.000240,-0.001572
31,0.6200,1.371790,1,weight_shift,0.115620,-0.003899,-0.004654,0.000031,-0.000078
32,0.6400,1.623034,1,weight_shift,0.115622,-0.003872,-0.004975,0.000585,0.007946
33,0.6600,1.874278,1,weight_shift,0.115628,-0.003698,-0.005145,0.000132,0.006338
34,0.6800,2.125521,1,weight_shift,0.115623,-0.003720,-0.005128,-0.000369,-0.003288
35,0.7000,2.376765,1,weight_shift,0.115614,-0.003794,-0.005077,-0.000432,-0.003859
36,0.7200,2.628008,1,weight_shift,0.115617,-0.003756,-0.004937,-0.000309,-0.002757
37,0.7400,2.879252,1,weight_shift,0.115611,-0.003748,-0.004584,-0.000590,-0.001424
38,0.7600,3.130496,1,weight_shift,0.115605,-0.003697,-0.004152,-0.000516,-0.001442
39,0.7800,-2.901446,1,weight_shift,0.115584,-0.003786,-0.003439,-0.001212,-0.007251
40,0.8000,-2.650202,1,weight_shift,0.115571,-0.003795,-0.002713,-0.000588,-0.002138
